;;;; ;;;;;;;;;;;;;;;;; ONCOPROD RS ; ONCOPROD SP ; ONCOPROD PE ; NORPROD CE ; HOSPLOG DF ;;;; ONCOPROD ES ;;;; Preço Fabrica ;;;;; PMC ;;;;;
4112;01/10/2019;0,04;FÁBRICA;NOXAFIL 40MG/ML SUS ORAL FCO X 105ML;POSACONAZOL ;MSD/SCHERING;3004.90.79;POSITIVA;OUTROS;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;GO;;7,89893E+12;1;0,0521;1955,102468;0;1955,102468;0;1931,55;1931,55;1943,253362;1955,102468;1931,55;1931,55;1955,102468;2003,98;1603,182;1931,54;1943,25;1955,1;2003,98;2216,3042;2670,25;2686,429333;2702,81;2770,38;Prevenir infecções fúngicas em pacientes nos quais o sistema imune possa estar debilitado por outros motivos
4289;01/10/2019;0,03;0,07;NPLATE 250MCG PÓ LOIF. SOL. INJ. C/ 1FA;ROMIPLOSTIM ;AMGEM/BERGAMO;3002.10.39;POSITIVA;REFERÊNCIA;REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;NÃO;NACIONAL;SP;;7,89861E+12;3;0,0323;1836,685494;0;1834,230658;0;1812,131494;1812,131494;1823,114109;1834,230658;1911,57;1798,459744;1817,831348;1857,854055;1589,5372;1911,57;1924,92;1938,46;1994,58;2117,7484;2547,98;2566,967758;2582,62;2654,85;Tratar as contagens baixas de plaquetas
109779;11/04/2019;2% NO PF ;2% NO PF ;NUCALA 100 MG C/ 1 AMP;MEPOLIZUMABE ;GLAXO;3002.15.90;NEGATIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;NÃO;NACIONAL;RJ;;7,89602E+12;3;0,0323;5691,8694;0;5691,8694;0;5615,6254;5615,6254;5657,373222;5691,8694;5615,6254;5615,6254;5691,8694;5850,7666;4762,5846;5730,23;5768,87;5808,03;5970,17;6400,7068;7703,87;7758,432485;7805,74;8017,82;Tratamento complementar de manutenção de asma eosinofílica grave em pacientes adultos
110093;01/10/2019;0,02;FÁBRICA;OCREVUS 30MG ML 1 AMP 10ML;OCRELIZUMABE ;ROCHE;3002.10.39;NEGATIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;NÃO;NACIONAL;GO;;7,61333E+12;2;0,0422;30788,91;0;30788,91;0;30361,81;30361,81;30602,31055;30788,91;30361,81;30361,81;30788,91;31680,31;25246,9062;30361,81;30573,85;30788,91;31680,31;0;0;0;0;0;Tratamento de pacientes com formas recorrentes de esclerose múltipla
4545;01/10/2019;0,05;FÁBRICA;OFEV 100 MG CAIXA COM 60 CAPS;ESILATO DE NINTEDANIBE ;BOEHRINGER;2004.90.69;NEGATIVA;REFERÊNCIA;REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89603E+12;2;0,0422;8246,6;0;8246,6;0;8132,2;8132,2;8196,620606;8246,6;8132,2;8132,2;8246,6;8485,36;6762,212;8132,2;8189;8246,6;8485,36;9009,3482;10839,61;10920,42206;10987,01;11294,3;Tratamento e retardo da progressão da fibrose pulmonar idiopática, câncer de pulmão
4546;01/10/2019;0,05;FÁBRICA;OFEV 150MG CAIXA COM 60 CAPS;ESILATO DE NINTEDANIBE ;BOEHRINGER;2004.90.69;NEGATIVA;REFERÊNCIA;REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89603E+12;2;0,0422;16493,21;16493,21;16493,21;0;16264,42;16264,42;16378;16493,21;16264,42;16264,42;16493,21;16970,72;13524,43;16264,42;16378;16493,21;16970,72;18018,7128;21679,25;21840,864;21974,04;22588,59;Tratamento e retardo da progressão da fibrose pulmonar idiopática, câncer de pulmão
110657;01/10/2019;0,03;0,05;OLUMIANT COMP VER 4MG C 30;BARICITINIBE ;ELI LILLY;3004.90.79;NEGATIVA;OUTROS;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;CAMPANHA - NÃO PERDER VENDA - FAZER DE ACORDO COM NOSSA MARGEM;7,89638E+12;3;0,0323;4411,83466;0;4442,02;0;4380,4;4380,4;4410,99;4442,02;4334,273867;4365,495046;4416,950669;4523,588782;3642,4564;4380,4;4410,99;4442,02;4570,63;0;4380,4;4410,99;0;0;Tratamento de pacientes adultos com artrite reumatoide ativa moderada a grave com resposta inadequada
110146;06/12/2019;FÁBRICA;FÁBRICA;ONCASPAR 750 ML C 1 AMP 5ML;PEGASPARGASE;SERVIER;3004.90.19;NEGATIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;SIM;TRIBUTADO;SIM;IMPORTADO;RJ;Regionalizado : MG ;7,89803E+12;2;0,0422;0;0;0;0;0;0;0;6742,38;0;0;6742,38;0;5380,51;6648,85;6695,29;6742,38;6937,58;0;0;0;0;0;Indicado como um componente da terapia antineoplásica combinada de pacientes com leucemia linfoblástica aguda (LLA)
1085;01/10/2019;0,04;FÁBRICA;ONICIT 0,05 MG/ML FR. AMP. C/ 1,5 ML;PALONOSETRONA, CLORIDRATO DE ;MSD/SCHERING;3004.90.69;NEGATIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;TRIBUTADO;SIM;IMPORTADO;GO;;7,89757E+12;3;0,0323;87,605901;87,61;87,605901;0;86,39;86,39;87;87,605901;86,39;86,39;87,605901;90,15;71,84;86,39;87;87,61;90,15;0;0;0;0;0;Prevenir náuseas e vômitos que podem acontecer: pós cirurgia ou após receber algum medicamento 
802;01/10/2019;0,04;0,07;ONICIT 0,25 MG FR.AMP C/5ML;TOCILIZUMABE ;MSD/SCHERING;3004.90.69;NEGATIVA;SIMILAR;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;TRIBUTADO;SIM;IMPORTADO;GO;;7,89893E+12;3;0,0323;268,5511408;0;274,5993897;0;270,9380645;270,9380645;272,7564408;274,5993897;263,8279984;265,728437;268,8605496;275,35163;240,0304;288,66;290,68;292,72;301,2;0;0;0;0;0;Prevenir náuseas e vômitos que podem acontecer: pós cirurgia ou após receber algum medicamento 
4257;11/04/2019;TABELA;TABELA;ONTAX  100 MG FR. AMP C/ 6MG/ML - C/ 16,7 ML.;PACLITAXEL ;LIBBS;3004.90.59;POSITIVA;SIMILAR;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;NÃO;NACIONAL;SP;;7,89609E+12;1;0,0521;104,75;104,75;104,75;104,75;104,75;104,75;104,75;104,75;104,75;104,75;104,75;104,75;2047,7696;2467,19;2482,14;2497,28;2559,71;0;0;0;0;0;Carcinoma (tumor maligno) de ovário, cãncer de mama, Câncer pulmonar de células não pequenas e AIDS
4258;43566;TABELA;TABELA;ONTAX  150 MG FR. AMP C/ 6MG/ML - C/ 25 ML.;PACLITAXEL ;LIBBS;3004.90.59;POSITIVA;SIMILAR;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;NÃO;NACIONAL;SP;;7,89609E+12;1;0,0521;155,72;155,72;155,72;155,72;155,72;155,72;155,72;155,72;155,72;155,72;155,72;155,72;2996,1816;3609,86;3631,73;3653,88;3745,23;0;0;0;0;0;Carcinoma (tumor maligno) de ovário, cãncer de mama, Câncer pulmonar de células não pequenas e AIDS
4256;43566;TABELA;TABELA;ONTAX  30 MG FR. AMP C/ 6MG/ML - C/ 5 ML.;PACLITAXEL ;LIBBS;3004.90.59;POSITIVA;SIMILAR;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;NÃO;NACIONAL;SP;;7,89609E+12;1;0,0521;35,61;35,61;35,61;35,61;35,61;35,61;35,61;35,61;35,61;35,61;35,61;35,61;650,5552;783,8;788,55;793,36;813,19;0;0;0;0;0;Carcinoma (tumor maligno) de ovário, cãncer de mama, Câncer pulmonar de células não pequenas e AIDS
4406;0;6% NO PF ;6% NO PF ;OPDIVO 100MG SOL INJ C/ 1FA X 10ML;NIVOLUMABE ;BRISTOL;3002.10.39;POSITIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;SIM;TRIBUTADO;NÃO;NACIONAL;SP;NÃO PODEMOS VENDER PARA FARMACIAS/DROGARIAS DE FORMA ALGUMA;7,89602E+12;3;0,0323;7903,92;7903,92;7903,92;0;7794,27;7794,27;7848,7;7903,92;7794,27;7794,27;7903,92;8132,75;6894,91;8291,78;8349,69;8408,43;8651,87;9186,1484;11052,31;11134,72533;11202,62;11515,92;Tratamento de melanoma (um tipo de câncer de pele), câncer de pulmão de células não pequenas
4405;0;6% NO PF ;6% NO PF ;OPDIVO 40MG SOL INJ C/ 1FA X 4ML;NIVOLUMABE ;BRISTOL;3002.10.39;POSITIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;SIM;TRIBUTADO;NÃO;NACIONAL;SP;NÃO PODEMOS VENDER PARA FARMACIAS/DROGARIAS DE FORMA ALGUMA;7,89602E+12;3;0,0323;0;0;3094,83;0;3051,88;0;3073,21;3094,83;3051,88;3073,21;3094,83;3184,43;2757,9716;3316,72;3339,88;3363,38;3460,75;3674,461;4420,93;4453,892121;4481,05;4606,37;Tratamento de melanoma (um tipo de câncer de pele), câncer de pulmão de células não pequenas
123;15/042019;4% NO PF ;4% NO PF ;ORENCIA 250 MG CX C/ 1 FR. AMP.;ABATACEPTE ;BRISTOL;3002.10.39;POSITIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;SIM;TRIBUTADO;NÃO;NACIONAL;SP;NÃO PODEMOS VENDER PARA FARMACIAS/DROGARIAS DE FORMA ALGUMA;7,89602E+12;3;0,0323;1754,976;0;1754,976;0;1733,8272;1733,8272;1744,339782;1754,976;1733,8272;1733,8272;1754,976;1798,848;1499,042;1806,07;1817,01;1828,1;1873,8;2072,3368;2496,78;2511,923394;2527,24;2590,41;Tratar artrite reumatoide - é uma doença que pode causar dor e inflamação das articulações
3266;15/042019;4% NO PF ;4% NO PF ;ORENCIA SC 125 MG DISP SEG + EXTENSORES DE APOIO;ABATACEPTE ;BRISTOL;3002.10.29;POSITIVA;REFERÊNCIA;REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;NÃO;NACIONAL;SP;VERIFICAR LISTAS ANTES DE COTAR/VENDER - 02/05/2018;7,89602E+12;3;0,0323;5573,0208;0;5573,0208;0;5505,8688;5505,8688;5539,244916;5573,0208;5505,8688;5505,8688;5573,0208;5712,3456;4760,2886;5735,28;5770,04;5805,23;5950,36;6580,8116;7928,68;7976,741333;8025,38;8226,02;Tratar artrite reumatoide - é uma doença que pode causar dor e inflamação das articulações
291;43739;0,04;FÁBRICA;ORGALUTRAN  0,25 MG  X  1 SERINGA / 0,5 ML;GANIRRELIX, ACETATO DE ;MSD/SCHERING;3004.39.29;POSITIVA;OUTROS;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;GO;;7,89757E+12;3;0,0323;265,248592;0;265,248592;0;262,05;262,05;263,6410248;265,248592;262,05;262,05;265,248592;271,88;217,505;262,05;263,64;265,25;271,88;300,6858;362,27;364,4676364;366,69;375,86;Prevenir o aumento precoce do hormônio luteinizante durante o tratamento da infertilidade
3179;43739;0,03;0,1;OVIDREL F-PEN 250 MCG ;ALFACORIOGONADOTROPINA ;MERCK S/A;3004.39.12;POSITIVA;REFERÊNCIA;REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;RJ;NÃO PODEMOS VENDER PARA FARMACIA - PARA CLINICAS DE ONCOLOGIA (QUESTIONAR O USO);7,89172E+12;3;0,0323;271,7093496;0;275,9894895;0;272,3096296;272,3096296;274,137211;275,9894895;268,4323213;270,3659263;273,5527005;280,1570631;267,361;322,12;324,07;326,05;334,2;369,615;445,31;448,0181818;450,75;462,01;Para ajudar a desenvolver e amadurecer vários folículos e para liberar um óvulo do ovário
360;43566;TABELA;TABELA;OXALIBBS 100 MG FR. AMP.;OXALIPLATINA ;LIBBS;3004.90.99;POSITIVA;SIMILAR;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;SIM;IMPORTADO;SP;;7,89609E+12;2;0,0422;251,45;251,45;251,45;251,45;251,45;251,45;251,45;251,45;251,45;251,45;251,45;251,45;3367,71;4057,49;4082,08;4106,97;4209,64;0;0;0;0;0;Câncer intestinal, câncer colorretal e câncer colón retal metastático
110141;43566;TABELA;TABELA;OXALIBBS 100MG/20ML INJ 1 FA OR - DILUIDO;OXALIPLATINA ;LIBBS;3004.90.99;POSITIVA;SIMILAR;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;CONVENIO 118;SIM;IMPORTADO;SP;;7,89609E+12;2;0,0422;251,45;251,45;251,45;251,45;251,45;251,45;251,45;251,45;251,45;251,45;251,45;251,45;3810,4334;4590,88;4618,71;4646,87;4763,04;0;0;0;0;0;Câncer intestinal, câncer colorretal e câncer colón retal metastático
359;43566;TABELA;TABELA;OXALIBBS 50 MG FR. AMP.;OXALIPLATINA ;LIBBS;3004.90.99;POSITIVA;SIMILAR;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;SIM;IMPORTADO;SP;;7,89609E+12;2;0,0422;123,06;123,06;123,06;123,06;123,06;123,06;123,06;123,06;123,06;123,06;123,06;123,06;1695,801;2043,13;2055,52;2068,05;2119,75;0;0;0;0;0;Câncer intestinal, câncer colorretal e câncer colón retal metastático
110142;11/04/2019;TABELA;TABELA;OXALIBBS 50MG 10ML INJ 1 FA OR - DILUÍDO;OXALIPLATINA ;LIBBS;3004.90.99;POSITIVA;SIMILAR;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;CONVENIO 118;SIM;IMPORTADO;SP;;7,89609E+12;2;0,0422;123,06;123,06;123,06;123,06;123,06;123,06;123,06;123,06;123,06;123,06;123,06;123,06;1905,147;2295,36;2309,27;2323,35;2381,43;0;0;0;0;0;Câncer intestinal, câncer colorretal e câncer colón retal metastático
306278;04/11/2019;PRODUTO NOVO ;PRODUTO NOVO ;OXALIPLATINA 5MG/ML INJ 10ML MED;OXALIPLATINA;SANOFI/GENZYME;3004.90.99;POSITIVA;GENÉRICO;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;SIM;IMPORTADO;SP;;7,89642E+12;INFO PENDENTE;INFO PENDENTE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Tratamento de pacientes com câncer colón retal metastático e como adjuvante no tratamento de pacientes no estágio III
306277;04/11/2019;PRODUTO NOVO ;PRODUTO NOVO ;OXALIPLATINA 5MG/ML INJ 20ML MED;OXALIPLATINA;SANOFI/GENZYME;3004.90.99;POSITIVA;GENÉRICO;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;SIM;IMPORTADO;SP;;7,89642E+12;INFO PENDENTE;INFO PENDENTE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Tratamento de pacientes com câncer colón retal metastático e como adjuvante no tratamento de pacientes no estágio III
3794;01/10/2019;0,03;0,05;OXYCONTIN 10MG CX C/ 30 COM REV. LIB. CONTR. (A1);OXICODONA, CLORETO DE ;MUNDIPHARMA;3004.40.90;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89295E+12;INFO PENDENTE;INFO PENDENTE;205,9743261;0;209,2224751;0;206,4328421;206,4328421;207,8182974;209,2224751;203,4935802;204,9594104;207,375245;212,3818903;0;0;0;0;0;241,1046;290,49;292,248;294,03;301,39;Tratamento de dores moderadas a severas, quando o uso do analgésico seja 24 horas por dia 
3790;01/10/2019;0,03;0,05;OXYCONTIN 20MG CX C/ 30 COM REV. LIB. CONTR. (A1);OXICODONA, CLORETO DE ;MUNDIPHARMA;3004.40.90;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89295E+12;INFO PENDENTE;INFO PENDENTE;369,1829268;0;375,0034139;0;370,0033684;370,0033684;372,4866125;375,0034139;364,7349854;367,3622897;371,6923497;380,6660906;0;0;0;0;0;432,1482;520,67;523,816;527,01;540,19;Tratamento de dores moderadas a severas, quando o uso do analgésico seja 24 horas por dia 
4566;01/10/2019;0,03;0,05;OXYCONTIN 40MG CX C/ 30 COM REV. LIB. CONTR. (A1);OXICODONA, CLORETO DE ;MUNDIPHARMA;3004.40.90;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89859E+12;INFO PENDENTE;INFO PENDENTE;611,6183569;0;621,2553343;0;612,9719298;612,9719298;617,0858354;621,2553343;604,243967;608,5965321;615,7699943;630,6364838;0;0;0;0;0;735,253;885,85;891,2157576;896,65;919,07;Tratamento de dores moderadas a severas, quando o uso do analgésico seja 24 horas por dia 
110567;06/12/2019;0,03;FÁBRICA;OZEMPIC 0,25MG 0,5MG + 6 AG 4MM;SEMAGLUTIDA;NOVO NORDISK;3004.39.29;NEGATIVA ;OUTROS;REFRIGERADO;NÃO CONTROLADO;SIM;TRIBUTADO;SIM;IMPORTADO;PR;;7,89771E+12;3;0,0323;0;0;0;0;0;0;0;0;0;0;0;0;463,1442;556,97;560,86;564,81;581,16;0;0;0;0;0;É usado, em conjunto com dieta e exercícios, para tratar pacientes adultos com diabetes tipo 2
110568;06/12/2019;0,03;FÁBRICA;OZEMPIC 1MG + 4 AG NOVOFINE 4MM;SEMAGLUTIDA;NOVO NORDISK;3004.39.29;NEGATIVA ;OUTROS;REFRIGERADO;NÃO CONTROLADO;SIM;TRIBUTADO;SIM;IMPORTADO;PR;;7,89771E+12;3;0,0323;0;0;0;0;0;0;0;0;0;0;0;0;589,8424;709,34;714,3;719,32;740,15;0;0;0;0;0;É usado, em conjunto com dieta e exercícios, para tratar pacientes adultos com diabetes tipo 2
2128;01/10/2019;0,02;0,04;PEGASYS 180MCG  SER PR 0,5 ML;PEGINTERFERONALFAA ;ROCHE;3002.10.36;POSITIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;SIM;ISENTO;NÃO;NACIONAL;GO;;7,89623E+12;3;0,0323;1680,406667;1680,406667;1680,406667;1680,406667;1680,406667;1680,406667;1680,406667;1680,406667;1680,406667;1680,406667;1680,406667;1680,406667;1716,16;0;0;0;0;0;0;0;0;0;Hepatite crônica B, Hepatite crônica C e Coinfecção HCV-HIV
1715;01/10/2019;0,04;0,05;PEGINTRON 100MCG  FR.AMP.;ALFAINTERFERONAB ;MSD/SCHERING;3004.90.99;POSITIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;NÃO;ISENTO;NÃO;NACIONAL;GO;;7,89757E+12;INFO PENDENTE;INFO PENDENTE;1504,74;1504,74;1504,74;1504,74;1504,74;1504,74;1504,74;1504,74;1504,74;1504,74;1504,74;1504,74;0;0;0;0;0;2124,95;2124,95;2124,95;2124,95;2124,95;Tratamento da hepatite C crônica e da hepatite B crônica
1709;01/10/2019;0,04;0,05;PEGINTRON 120MCG FR.AMP.;ALFAINTERFERONAB ;MSD/SCHERING;3004.90.99;POSITIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;NÃO;ISENTO;NÃO;NACIONAL;GO;;7,89757E+12;INFO PENDENTE;INFO PENDENTE;1804,983158;1804,983158;1804,983158;1804,983158;1804,983158;1804,983158;1804,983158;1804,983158;1804,983158;1804,983158;1804,983158;1804,983158;0;0;0;0;0;2548,95;2548,95;2548,95;2548,95;2548,95;Tratamento da hepatite C crônica e da hepatite B crônica
1711;01/10/2019;0,04;0,05;PEGINTRON 80MCG FR.AMP.;ALFAPEGINTERFERONAB ;MSD/SCHERING;3004.90.99;POSITIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;NÃO;ISENTO;NÃO;NACIONAL;GO;;7,89757E+12;INFO PENDENTE;INFO PENDENTE;1236,283263;1236,283263;1236,283263;1236,283263;1236,283263;1236,283263;1236,283263;1236,283263;1236,283263;1236,283263;1236,283263;1236,283263;0;0;0;0;0;1745,84;1745,84;1745,84;1745,84;1745,84;Tratamento da hepatite C crônica e da hepatite B crônica
1332;01/10/2019;0,04;0,05;PEGINTRON MELANOMA 200MCG/0,5ML FA;ALFAPEGINTERFERONAB ;MSD/SCHERING;3004.90.99;POSITIVA;REFERÊNCIA;REFRIGERADO;NÃO CONTROLADO;NÃO;ISENTO;NÃO;NACIONAL;GO;;7,89757E+12;INFO PENDENTE;INFO PENDENTE;2441,548947;2441,548947;2441,548947;2441,548947;2441,548947;2441,548947;2441,548947;2441,548947;2441,548947;2441,548947;2441,548947;2441,548947;2846,94;0;0;0;0;3772,4;3772,4;3772,4;3772,4;3772,4;Tratamento da hepatite C crônica e da hepatite B crônica
1333;01/10/2019;0,04;0,05;PEGINTRON MELANOMA 300MCG/0,5ML FA;ALFAPEGINTERFERONAB ;MSD/SCHERING;3004.90.99;POSITIVA;REFERÊNCIA;REFRIGERADO;NÃO CONTROLADO;NÃO;ISENTO;NÃO;NACIONAL;GO;;7,89757E+12;INFO PENDENTE;INFO PENDENTE;3662,336842;3662,336842;3662,336842;3662,336842;3662,336842;3662,336842;3662,336842;3662,336842;3662,336842;3662,336842;3662,336842;3662,336842;4270,43;0;0;0;0;5658,61;5658,61;5658,61;5658,61;5658,61;Tratamento da hepatite C crônica e da hepatite B crônica
110794;27/12/2019;TABELA ;TABELA ;PENTAGLOBIN 50MG ML SL INJ 100ML;IMUNOGLOBUL HUMANA;BIOTEST;3002.12.35;POSITIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;SIM;TRIBUTADO;NÃO;NACIONAL;SP;Podemos vender apenas para o Norte e Nordeste;4,03612E+12;3;0,0323;1520;1520;1520;1520;1520;1520;1520;1520;1520;1520;1520;1520;1350,85;1627,53;1637,4;1647,38;1688,56;0;0;0;0;0;Terapia adjuvante de infecções bacterianas graves, incluindo septicemia, adicionalmente à antibioticoterapia
110790;13/12/2019;TABELA ;TABELA ;PENTAGLOBIN 50MG ML SL INJ 10ML;IMUNOGLOBUL HUMANA;BIOTEST;3002.10.35;POSITIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;SIM;TRIBUTADO;NÃO;NACIONAL;SP;Podemos vender apenas para o Norte e Nordeste;4,03612E+12;3;0,0323;152;152;152;152;152;152;152;152;152;152;152;152;135,08;162,75;163,73;164,73;168,85;0;0;0;0;0;Terapia adjuvante de infecções bacterianas graves, incluindo septicemia, adicionalmente à antibioticoterapia
861;01/10/2019;0,02;0,05;PENTASA 28 SUPOSITORIOS 1.000MG;MESALAZINA ;FERRING;3004.90.39;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89617E+12;3;0,0323;421,9385109;0;428,5948791;0;422,8802807;422,8802807;425,7184034;428,5948791;416,8590285;419,8617992;424,8106653;435,0668378;373,51;450,01;452,74;455,5;466,89;516,3622;622,13;625,8935758;629,71;645,45;Indicado como anti-inflamatório para reduzir as reações inflamatórias do reto e doença de Crohn
1403;01/10/2019;0,02;0,05;PENTASA 2G LIB PROL 30 SACH;MESALAZINA ;FERRING;3004.90.39;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89617E+12;3;0,0323;313,7223363;0;318,6655761;0;314,4167018;314,4167018;316,526881;318,6655761;309,9398656;312,1724628;315,8520063;323,4775979;543,086;654,32;658,29;662,3;678,86;750,7838;904,56;910,0409697;915,59;938,47;Indicado como anti-inflamatório para reduzir as reações inflamatórias do reto e doença de Crohn
929;16/01/2019;0,03;FÁBRICA;PERGOVERIS 150UI/75UI C/1 FR. AMP + 1 DIL. 1ML;ALFAFOLITROPINA+ALFALUTROPINA ;MERCK S/A;3004.39.99;NEGATIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;RJ;;7,89172E+12;3;0,0323;294,59;0;294,59;0;290,5;290,5;292,8046061;294,59;290,5;290,5;294,59;303,12;241,5638;290,5;292,53;294,59;303,12;321,8336;387,21;390,1013333;392,48;403,46;Indicado para induzir ovulação nas mulheres que não ovulam devido à produção muito baixa de hormônios de fertilidade 
1572;01/10/2019;0,02;0,04;PERJETA 420MG SOL DIL. FA 14ML;PERTUZUMABE ;ROCHE;3002.10.38;NEGATIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;SIM;TRIBUTADO;NÃO;NACIONAL;GO;;7,89623E+12;3;0,0323;11057,49;0;11057,47154;0;10924,249;10924,249;10990,45657;11057,47154;10924,24899;10924,27;11057,49;11342,52864;9067,1418;10924,27;10990,47;11057,49;11333,93;0;0;0;0;0;Câncer de Mama Metastático e Tratamento Neoadjuvante de Câncer de Mama
4572;01/10/2019;0,02;0,05;PICOPREP C/2 ENV 12G;PICOSSULFATO DE SODIO + OX DE ;FERRING;3004.90.29;NEGATIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89617E+12;3;0,0323;26,81;26,71;27,41;0;27,05;27,05;27,23;27,41024182;26,53;26,53;26,84;27,49;23,64;28,43;28,63;28,83;29,66;31,4962;37,9;38,17721212;38,41;39,48;Destinado para a limpeza intestinal antes da realização de procedimentos diagnósticos
116436;27/11/2019;FÁBRICA;FÁBRICA;PIQRAY 150MG 8BLX7 COMP REV;ALPELISIBE;NOVARTIS;3004.90.79;NEGATIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89626E+12;INFO PENDENTE;INFO PENDENTE;0;0;0;0;0;0;0;0;0;0;0;0;14929,4366;17954,07;18079,46;18206,63;18733,75;0;0;0;0;0;Tratamento de mulheres na pós-menopausa e homens com câncer de mama avançado ou metastásico com mutação PIK3CA
116435;27/11/2019;FÁBRICA;FÁBRICA;PIQRAY 200+50MG 8BLX7 COMP REV;ALPELISIBE;NOVARTIS;3004.90.79;NEGATIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89626E+12;INFO PENDENTE;INFO PENDENTE;0;0;0;0;0;0;0;0;0;0;0;0;14929,4366;17954,07;18079,46;18206,63;18733,75;0;0;0;0;0;Tratamento de mulheres na pós-menopausa e homens com câncer de mama avançado ou metastásico com mutação PIK3CA
116433;27/11/2019;FÁBRICA;FÁBRICA;PIQRAY 200MG 4BLX7 COMP REV;ALPELISIBE;NOVARTIS;3004.90.79;NEGATIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89626E+12;INFO PENDENTE;INFO PENDENTE;0;0;0;0;0;0;0;0;0;0;0;0;14929,4366;17954,07;18079,46;18206,63;18733,75;0;0;0;0;0;Tratamento de mulheres na pós-menopausa e homens com câncer de mama avançado ou metastásico com mutação PIK3CA
