03057;04/06/2018;4%;8,00%;NAROPIN POLYAMP 10MG C/10ML 5 AP;CLOR. DE ROPIVACAINA;ASPEN PHARMA;3004.90.69;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;REGIME NORMAL;SIM;IMPORTADO;;;7896206402334;3;2,09%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 127,62 ; R$ -   ; R$ 128,39 ; R$ 128,95 ; R$ 161,64 ; R$ 136,08 ; R$ 136,08 ; R$ 136,91 ; R$ 137,74 ; R$ 141,18 ; R$ 112,95 ; R$ 136,08 ; R$ 136,91 ; R$ 137,74 ; R$ 141,18 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;ANESTÉSICO LOCAL - uso em cirurgia ;;
03025;04/06/2018;4%;8,00%;NAROPIN POLYAMP 7,5MGX20ML CX C/5 AMP;CLOR. DE ROPIVACAINA;ASPEN PHARMA;3004.90.69;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;REGIME NORMAL;SIM;IMPORTADO;;;7896206401566;3;2,09%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 188,74 ; R$ -   ; R$ 189,88 ; R$ 190,71 ; R$ 194,76 ; R$ 201,25 ; R$ 201,25 ; R$ 202,47 ; R$ 203,70 ; R$ 208,79 ; R$ 167,04 ; R$ 201,25 ; R$ 202,47 ; R$ 203,70 ; R$ 208,79 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;ANESTÉSICO LOCAL - uso em cirurgia ;;
00257;26/06/2018;4%;6,00%;NAVELBINE 10MG FR.AMP.1ML.;VINORELBINA,DIRTARTARATO;PIERRE FABRE;3004.90.99;POSITIVA;REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;SIM;IMPORTADO;;;7896290402005;;; R$ 39,53 ; R$ 39,53 ; R$ 43,15 ; R$ 39,53 ; R$ 39,53 ; R$ 39,44 ; R$ 39,53 ; R$ 39,53 ; R$ 39,53 ; R$ 39,53 ; R$ 39,53 ; R$ 39,53 ; R$ 39,53 ; R$ 39,53 ; R$ 200,84 ; R$ 241,98 ; R$ 243,45 ; R$ 244,93 ; R$ 251,05 ; R$ 277,65 ; R$ 334,52 ; R$ 336,56 ; R$ 338,60 ; R$ 347,06 ;ANTINEOPLÁSICO -  Tratamento de câncer de pulmão não pequenas células, tratamento de recidiva de câncer de mama em estádio avançado;;
00878;26/06/2018;4%;6%;NAVELBINE 20 MG CX C/ 1 CAPS;VINORELBINA, TARTARATO D;PIERRE FABRE;3004.90.99;POSITIVA;REFRIGERADO;NÃO CONTROLADO;NÃO;CONVENIO 118;SIM;IMPORTADO;;;7896290401879;;; R$ 112,29 ; R$ 112,29 ; R$ 116,48 ; R$ 112,29 ; R$ 112,29 ; R$ 132,00 ; R$ 112,29 ; R$ 112,29 ; R$ 112,29 ; R$ 112,29 ; R$ 112,29 ; R$ 112,29 ; R$ 112,29 ; R$ 112,29 ; R$ 117,28 ; R$ 141,30 ; R$ 142,15 ; R$ 143,02 ; R$ 146,60 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;ANTINEOPLÁSICO -  Tratamento de câncer de pulmão não pequenas células, tratamento de recidiva de câncer de mama em estádio avançado;;
00879;26/06/2018;4%;6%;NAVELBINE 30 MG CX C/ 1 CAPS.;VINORELBINA, TARTARATO D;PIERRE FABRE;3004.90.99;POSITIVA;REFRIGERADO;NÃO CONTROLADO;NÃO;CONVENIO 118;SIM;IMPORTADO;;;7896290401886;;; R$ 168,45 ; R$ 168,45 ; R$ 174,74 ; R$ 168,45 ; R$ 168,45 ; R$ 198,18 ; R$ 168,45 ; R$ 168,45 ; R$ 168,45 ; R$ 168,45 ; R$ 168,45 ; R$ 168,45 ; R$ 168,45 ; R$ 168,45 ; R$ 175,94 ; R$ 211,97 ; R$ 213,26 ; R$ 214,56 ; R$ 219,92 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;ANTINEOPLÁSICO -  Tratamento de câncer de pulmão não pequenas células, tratamento de recidiva de câncer de mama em estádio avançado;;
00256;26/06/2018;4%;6%;NAVELBINE 50MG FR.AMP.5ML.;VINORELBINA,DIRTARTARATO;PIERRE FABRE;3004.90.99;POSITIVA;REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;SIM;IMPORTADO;;;7896290401862;;; R$ 142,89 ; R$ 142,89 ; R$ 155,99 ; R$ 142,89 ; R$ 142,89 ; R$ 147,58 ; R$ 142,89 ; R$ 142,89 ; R$ 142,89 ; R$ 142,89 ; R$ 142,89 ; R$ 142,89 ; R$ 142,89 ; R$ 142,89 ; R$ 945,89 ; R$ 1.139,63 ; R$ 1.146,54 ; R$ 1.153,53 ; R$ 1.182,37 ; R$ 1.307,64 ; R$ 1.575,47 ; R$ 1.585,02 ; R$ 1.594,69 ; R$ 1.634,56 ;ANTINEOPLÁSICO -  Tratamento de câncer de pulmão não pequenas células, tratamento de recidiva de câncer de mama em estádio avançado;;
00541;22/04/2018;4%;8,00%;NEBIDO 250 MG/ML CX C/ 1 AMP. C/ 4 ML (C5);TESTOSTERONA, UNDECILATO DE;BAYER;3004.39.39;POSITIVA;NÃO REFRIGERADO;CONTROLADO;NÃO;REGIME NORMAL;SIM;IMPORTADO;SP;;7891106906296;3;2,09%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 405,43 ; R$ -   ; R$ 407,36 ; R$ 409,31 ; R$ 417,30 ; R$ 412,12 ; R$ 403,16 ; R$ 404,99 ; R$ 406,84 ; R$ 414,41 ; R$ -   ; R$ 421,32 ; R$ 423,88 ; R$ 426,46 ; R$ 437,12 ; R$ 483,44 ; R$ 582,45 ; R$ 585,99 ; R$ 589,56 ; R$ 604,29 ;ANDROGÊNIO - Indicado na reposição de testosterona em homens que apresentam hipogonadismo primário e secundário;;
00697;18/06/2018;4%;10,00%;NEO DECAPEPTYL 3,75 MG FR. AMP. + DIL. 2 ML;TRIPTORRELINA, EMBONATO DE;ACHÉ / BIOSSINTETICA;3004.39.18;POSITIVA;;;NÃO;CONVENIO 118;NÃO;NACIONAL;;;7896658000201;3;2,09%; R$ 374,60 ; R$ 374,60 ; R$ 388,59 ; R$ 374,60 ; R$ -   ; R$ 440,70 ; R$ -   ; R$ -   ;; R$ -   ; R$ -   ;; R$ -   ; R$ -   ; R$ 567,57 ; R$ 683,82 ; R$ 687,96 ; R$ 692,16 ; R$ 709,46 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;ANÁLOGO DO HORMÔNIO GnRH- CÂNCER PRÓSTATA;;
00843;18/06/2018;4%;10,00%;NEO DECAPEPTYL LP 11,25 MG FR. AMP. + DIL. 2 ML;TRIPTORRELINA, EMBONATO DE;ACHÉ / BIOSSINTETICA;3004.39.18;POSITIVA;;;NÃO;CONVENIO 118;NÃO;NACIONAL;;;7896658008153;3;2,09%; R$ 1.248,61 ; R$ 1.248,61 ; R$ 1.295,24 ; R$ 1.248,61 ; R$ -   ; R$ 1.468,95 ; R$ -   ; R$ -   ;; R$ -   ; R$ -   ;; R$ -   ; R$ -   ; R$ 1.702,65 ; R$ 2.051,38 ; R$ 2.063,81 ; R$ 2.076,40 ; R$ 2.128,31 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;ANÁLOGO DO HORMÔNIO GnRH- CÂNCER PRÓSTATA;;
04288;25/06/2018;4%;8%;NEULASTIM 10MG/ML SOL INJ C/ SER PREENCH X 0,6ML - AMGEN;PEGFILGRASTIM;AMGEM / BERGAMO;3002.10.39;POSITIVA;;;NÃO;REGIME NORMAL;NÃO;NACIONAL;SP;;7898609960084;3;2,09%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 3.603,41 ; R$ -   ; R$ 3.625,00 ; R$ 3.638,05 ; R$ 3.709,39 ; R$ 3.646,82 ; R$ 3.431,77 ; R$ 3.452,00 ; R$ 3.460,96 ; R$ 3.520,87 ; R$ 3.978,04 ; R$ 4.792,82 ; R$ 4.821,87 ; R$ 4.851,27 ; R$ 4.972,55 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;É indicado para promover redução na duração da neutropenia e da incidência de neutropenia febril em pacientes tratados com quimioterapia citotóxica para doenças malignas .;;
03983;07/06/2018;4%;5,00%;NEUPRO 13,5MG ADES TRANSD C/ 28 ENV (6MG/24H)  (C1);ROTIGOTINA;UCB;3005.10.10;POSITIVA;NÃO REFRIGERADO;CONTROLADO;NÃO;REGIME NORMAL;SIM;NACIONAL;;ATENDER TODO O BRASIL  - JOSI 04/09;4030729003545;2;2,47%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 332,31 ; R$ -   ; R$ 334,30 ; R$ 335,51 ; R$ 342,09 ; R$ 336,32 ; R$ 314,44 ; R$ 316,34 ; R$ 317,12 ; R$ 322,61 ; R$ 276,06 ; R$ 341,14 ; R$ 343,52 ; R$ 345,94 ; R$ 355,96 ; R$ 370,32 ; R$ 454,71 ; R$ 457,78 ; R$ 460,90 ; R$ 473,79 ;É indicado para o tratamento de sinais e sintomas da Doença de Parkinson idiopática (Mal de Parkinson). ;;
03984;07/06/2018;4%;5,00%;NEUPRO 18MG ADES TRANSD C/ 28 ENV (8MG/24H)  (C1);ROTIGOTINA;UCB;3005.10.10;POSITIVA;NÃO REFRIGERADO;CONTROLADO;NÃO;REGIME NORMAL;SIM;NACIONAL;;ATENDER TODO O BRASIL  - JOSI 04/09;4030729003569;2;2,47%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 492,43 ; R$ -   ; R$ 495,41 ; R$ 497,56 ; R$ 508,15 ; R$ 498,00 ; R$ 485,29 ; R$ 488,23 ; R$ 489,72 ; R$ 498,83 ; R$ 410,12 ; R$ 506,79 ; R$ 510,33 ; R$ 513,92 ; R$ 528,80 ; R$ 550,16 ; R$ 675,51 ; R$ 680,08 ; R$ 684,70 ; R$ 703,85 ;É indicado para o tratamento de sinais e sintomas da Doença de Parkinson idiopática (Mal de Parkinson). ;;
04227;07/06/2018;4%;5,00%;NEUPRO 2MG/24H ADES TRANSD C/ 7 ENV (C1);ROTIGOTINA;UCB;3005.10.10;POSITIVA;NÃO REFRIGERADO;CONTROLADO;NÃO;REGIME NORMAL;SIM;NACIONAL;;ATENDER TODO O BRASIL  - JOSI 04/09;4030729003507;2;2,47%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 30,85 ; R$ -   ; R$ 31,03 ; R$ 31,15 ; R$ 31,76 ; R$ 31,22 ; R$ 29,19 ; R$ 29,36 ; R$ 29,44 ; R$ 29,95 ; R$ 25,63 ; R$ 31,67 ; R$ 31,90 ; R$ 32,12 ; R$ 33,05 ; R$ 34,38 ; R$ 42,21 ; R$ 42,51 ; R$ 42,79 ; R$ 43,99 ;É indicado para o tratamento de sinais e sintomas da Doença de Parkinson idiopática (Mal de Parkinson). ;;
03982;07/06/2018;4%;5,00%;NEUPRO 9MG ADES TRANSD C/ 28 ENV (4MG/24H)  (C1);ROTIGOTINA;UCB;3005.10.10;POSITIVA;NÃO REFRIGERADO;CONTROLADO;NÃO;REGIME NORMAL;SIM;NACIONAL;;ATENDER TODO O BRASIL  - JOSI 04/09;4030729003521;2;2,47%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 246,83 ; R$ -   ; R$ 248,32 ; R$ 249,21 ; R$ 254,09 ; R$ 249,81 ; R$ 233,56 ; R$ 234,97 ; R$ 235,55 ; R$ 239,62 ; R$ 205,05 ; R$ 253,39 ; R$ 255,16 ; R$ 256,95 ; R$ 264,39 ; R$ 275,07 ; R$ 337,75 ; R$ 340,03 ; R$ 342,34 ; R$ 351,91 ;É indicado para o tratamento de sinais e sintomas da Doença de Parkinson idiopática (Mal de Parkinson). ;;
00034;22/04/2018;4%;6,00%;NEXAVAR 200 MG C/60 CPS;SORAFENIBE TOSILATO;BAYER;3004.90.69;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;CONVENIO 118;NÃO;IMPORTADO;SP;;7891106006767;2;2,47%; R$ 5.361,06 ; R$ 5.361,06 ; R$ 5.852,68 ; R$ 5.361,06 ; R$ -   ; R$ 5.814,60 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 5.477,60 ; R$ 6.599,52 ; R$ 6.639,51 ; R$ 6.680,00 ; R$ 6.847,00 ; R$ 7.572,46 ; R$ 9.123,45 ; R$ 9.178,73 ; R$ 9.234,71 ; R$ 9.465,58 ;ANTINEOPLÁSICO - INIBIDOR DA PROTEÍNA QUINASE  Tratamento do carcinoma hepatocelular;;
00361;26/05/2018;4%;7,00%;NEXIUM IV 40 MG  CX. C/ 10 AMP.;ESOMEPRAZOL;ASTRAZENECA;3004.90.69;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;REGIME NORMAL;SIM;IMPORTADO;SP;NO MOMENTO PODEMOS ATENDER BRASIL;7896206402471;1;2,84%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 415,00 ; R$ -   ; R$ 417,20 ; R$ 419,37 ; R$ 428,29 ; R$ 423,32 ; R$ 414,00 ; R$ 415,95 ; R$ 417,85 ; R$ 425,63 ; R$ 379,94 ; R$ 457,76 ; R$ -   ; R$ 463,35 ; R$ 474,93 ; R$ 525,26 ; R$ 632,84 ; R$ 636,67 ; R$ 640,55 ; R$ 656,56 ;INIBIDOR BOMBA DE PRÓTONS - Protetor gástrico ;;
00423;29/06/2018;4%;7,00%;NIMBIUM  10 MG  CX.  C/  5 AMP.  SOL. INJ.;BESILATO DE CISATRACURIO;GLAXO - SIMONE;3004.90.99;POSITIVA;;;SIM;REGIME NORMAL;SIM;IMPORTADO;;;7896269901515;;; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 146,91 ; R$ -   ; R$ 147,80 ; R$ 148,44 ; R$ 151,60 ; R$ 149,84 ; R$ 146,48 ; R$ 147,37 ; R$ 147,82 ; R$ 150,57 ; R$ 128,51 ; R$ 154,83 ; R$ 155,77 ; R$ 156,72 ; R$ 160,64 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;AGENTE BLOQ. NEUROMUSCULARES -adjuvante  anestesia geral para ajudar na intubação e relaxar musculatura, usado em UTI;;
00061;26/05/2018;4%;6,00%;NOLVADEX 10MG  C/30 CPS.;CITRATO DE TAMOXIFENO;ASTRAZENECA;3004.90.34;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;CONVENIO 118;SIM;IMPORTADO;SP;NO MOMENTO PODEMOS ATENDER BRASIL;7896206400361;3;2,09%; R$ 73,84 ; R$ 73,84 ; R$ 76,60 ; R$ 73,84 ; R$ 73,84 ; R$ 86,87 ; R$ 73,84 ; R$ 73,84 ; R$ 73,84 ; R$ 73,84 ; R$ 73,84 ; R$ 73,84 ; R$ 73,84 ; R$ 73,84 ; R$ 86,76 ; R$ 86,76 ; R$ 86,76 ; R$ 86,76 ; R$ 86,76 ; R$ 119,94 ; R$ 144,52 ; R$ 145,39 ; R$ 146,28 ; R$ 149,94 ;ANTINEOPLÁSICO - Tratamento Câncer de mama ;;
00062;26/05/2018;4%;6,00%;NOLVADEX-D 20MG  C/30 CPS.;CITRATO DE TAMOXIFENO;ASTRAZENECA;3004.90.99;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;CONVENIO 118;SIM;IMPORTADO;SP;NO MOMENTO PODEMOS ATENDER BRASIL;7896206400385;3;2,09%; R$ 117,28 ; R$ 121,66 ; R$ 117,28 ; R$ 117,28 ; R$ 117,28 ; R$ 137,98 ; R$ 117,28 ; R$ 117,28 ; R$ 117,28 ; R$ 117,28 ; R$ 117,28 ; R$ 117,28 ; R$ 117,28 ; R$ 117,28 ; R$ 177,80 ; R$ 177,80 ; R$ 177,80 ; R$ 177,80 ; R$ 177,80 ; R$ 245,81 ; R$ 296,16 ; R$ 297,96 ; R$ 299,77 ; R$ 307,26 ;ANTINEOPLÁSICO - Tratamento Câncer de mama ;;
00560;25/06/2018;4%;Fábrica;NORDITROPIN NORDIFLEXX 10MG SER. PREENCH. (C5);SOMATROPINA;NOVO NORDISK;3004.39.11;POSITIVA;;;NÃO;REGIME NORMAL;NÃO;NACIONAL;;;7897705201695;3;2,09%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 947,08 ; R$ -   ; R$ 952,82 ; R$ 958,63 ; R$ 982,60 ; R$ 947,08 ; R$ 947,08 ; R$ 952,82 ; R$ 958,63 ; R$ 982,60 ; R$ 786,08 ; R$ 947,08 ; R$ 952,82 ; R$ 958,63 ; R$ 982,60 ; R$ 1.309,28 ; R$ 1.317,22 ; R$ 1.317,22 ; R$ 1.325,25 ; R$ 1.358,39 ;HORMÔNIO DO CRESCIMENTO;;
04214;25/06/2018;4%;Fábrica;NORDITROPIN NORDIFLEXX 15MG SER. PREENCH. (C5);SOMATROPINA;NOVO NORDISK;3004.39.11;POSITIVA;;;NÃO;REGIME NORMAL;NÃO;NACIONAL;;;7897705201701;3;2,09%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 1.420,62 ; R$ -   ; R$ 1.429,22 ; R$ 1.437,94 ; R$ 1.473,89 ; R$ 1.420,62 ; R$ 1.420,62 ; R$ 1.429,22 ; R$ 1.437,94 ; R$ 1.473,89 ; R$ 1.179,11 ; R$ 1.420,62 ; R$ 1.429,22 ; R$ 1.437,94 ; R$ 1.473,89 ; R$ 1.963,92 ; R$ 1.975,81 ; R$ 1.975,81 ; R$ 1.987,87 ; R$ 2.037,57 ;HORMÔNIO DO CRESCIMENTO;;
00561;25/06/2018;4%;Fábrica;NORDITROPIN NORDIFLEXX 5MG SER. PREENCH. (C5);SOMATROPINA;NOVO NORDISK;3004.39.11;POSITIVA;;;NÃO;REGIME NORMAL;NÃO;NACIONAL;;;7897705201688;3;2,09%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 473,54 ; R$ -   ; R$ 476,40 ; R$ 479,31 ; R$ 491,29 ; R$ 473,54 ; R$ 473,54 ; R$ 476,40 ; R$ 479,31 ; R$ 491,29 ; R$ 393,03 ; R$ 473,54 ; R$ 476,40 ; R$ 479,31 ; R$ 491,29 ; R$ 654,64 ; R$ 658,60 ; R$ 658,60 ; R$ 662,62 ; R$ 679,18 ;HORMÔNIO DO CRESCIMENTO;;
04311;22/04/2018;4%;Fábrica;NORVIR 100MG C 30 COMP REV;RITONAVIR;ABBVIE;3004.90.78;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;ISENTO;NÃO;NACIONAL;GO;;7896255764834;3;2,09%; R$ 63,25 ; R$ 63,25 ; R$ 63,25 ; R$ 63,25 ; R$ 63,25 ; R$ 63,25 ; R$ 63,25 ; R$ 63,25 ; R$ 63,25 ; R$ 63,25 ; R$ 63,25 ; R$ 63,25 ; R$ 63,25 ; R$ 63,25 ; R$ 63,25 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;É destinado, em combinação com outros medicamentos antirretrovirais, ao tratamento de pacientes adultos e pediátricos infectados pelo HIV.;;
01375;25/06/2018;4%;Fábrica;NOVOSEVEN 1MG (50KUI) - FCO 1MG X 1,1ML DILUENTE;EPTAGOG ALFA ( ATIVADO );NOVO NORDISK;3002.10.39;POSITIVA;;;NÃO;REGIME NORMAL;NÃO;NACIONAL;;;7897705201732;3;2,09%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 3.403,77 ; R$ -   ; R$ 3.424,40 ; R$ 3.445,28 ; R$ 3.531,41 ; R$ 3.403,77 ; R$ 3.403,77 ; R$ 3.424,40 ; R$ 3.445,28 ; R$ 3.531,41 ; R$ 2.825,13 ; R$ 3.403,77 ; R$ 3.424,40 ; R$ 3.445,28 ; R$ 3.531,41 ; R$ 4.705,51 ; R$ 4.734,03 ; R$ 4.734,03 ; R$ 4.762,90 ; R$ 4.881,97 ;"FATOR RECOMBINANTE DE COAGULAÇÃO- Tratamento e prevenção de episódios de sangramento excessivo associado a cirurgia ou outros procedimentos invasivos:
";;
01377;25/06/2018;4%;Fábrica;NOVOSEVEN 2MG (100KUI) - FCO 2MG X 2,1ML DILUENTE;EPTAGOG ALFA ( ATIVADO );NOVO NORDISK;3002.10.39;POSITIVA;;;NÃO;REGIME NORMAL;NÃO;NACIONAL;;;7897705201749;3;2,09%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 6.807,56 ; R$ -   ; R$ 6.848,82 ; R$ 6.890,58 ; R$ 7.062,84 ; R$ 6.807,56 ; R$ 6.807,56 ; R$ 6.848,82 ; R$ 6.890,58 ; R$ 7.062,84 ; R$ 5.650,28 ; R$ 6.807,56 ; R$ 6.848,82 ; R$ 6.890,58 ; R$ 7.062,84 ; R$ 9.411,05 ; R$ 9.468,09 ; R$ 9.468,09 ; R$ 9.525,82 ; R$ 9.763,96 ;"FATOR RECOMBINANTE DE COAGULAÇÃO- Tratamento e prevenção de episódios de sangramento excessivo associado a cirurgia ou outros procedimentos invasivos:
";;
01378;29/06/2018;4%;Fábrica;NOVOSEVEN 5MG (250KUI) - FCO 5MG X 5,2ML DILUENTE;EPTAGOG ALFA ( ATIVADO );NOVO NORDISK;3002.10.39;POSITIVA;;;NÃO;REGIME NORMAL;NÃO;NACIONAL;;;7897705201756;;; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 17.019,68 ; R$ -   ; R$ 17.122,82 ; R$ 17.227,23 ; R$ 17.657,91 ; R$ 17.019,68 ; R$ 17.019,68 ; R$ 17.122,82 ; R$ 17.227,23 ; R$ 17.657,91 ; R$ 14.126,33 ; R$ 17.019,68 ; R$ 17.122,82 ; R$ 17.227,23 ; R$ 17.657,91 ; R$ 23.528,71 ; R$ 23.671,29 ; R$ 23.671,29 ; R$ 23.815,63 ; R$ 24.411,02 ;"FATOR RECOMBINANTE DE COAGULAÇÃO- Tratamento e prevenção de episódios de sangramento excessivo associado a cirurgia ou outros procedimentos invasivos:
";;
04112;18/06/2018;4%;7,00%;NOXAFIL 40MG/ML SUS ORAL FCO X 105ML;POSACONAZOL;MSD - SCHERING;3004.90.79;POSITIVA;;;NÃO;REGIME NORMAL;SIM;IMPORTADO;;;7898926572915;1;2,84%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 1.854,27 ; R$ -   ; R$ 1.865,51 ; R$ 1.873,59 ; R$ 1.913,45 ; R$ 1.970,03 ; R$ 1.849,90 ; R$ 1.861,11 ; R$ 1.866,60 ; R$ 1.901,53 ; R$ 1.536,65 ; R$ 1.851,38 ; R$ 1.862,60 ; R$ 1.873,96 ; R$ 1.920,81 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;É indicado para uso no tratamento das infecções fúngicas, candidíase orofaríngea, aspergilose, candidíase esofágica.;;
04289;25/06/2018;4%;8%;NPLATE 250MCG PÓ LOIF. SOL. INJ. C/ 1FA;ROMIPLOSTIM;AMGEM / BERGAMO;3002.10.39;POSITIVA;;;NÃO;REGIME NORMAL;NÃO;IMPORTADO;SP;;7898609960046;3;2,09%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 1.823,21 ; R$ -   ; R$ 1.834,20 ; R$ 1.870,74 ; R$ 1.876,83 ; R$ 1.832,24 ; R$ 1.724,25 ; R$ 1.734,70 ; R$ 1.738,91 ; R$ 1.769,01 ; R$ 1.482,72 ; R$ 1.832,24 ; R$ 1.845,03 ; R$ 1.858,01 ; R$ 1.911,80 ; R$ 2.442,24 ; R$ 2.458,72 ; R$ 2.218,36 ; R$ 2.475,44 ; R$ 2.544,67 ;É usado para tratar as contagens baixas de plaquetas em pessoas com púrpura trombocitopênica imunológica (idiopática) (denominada PTI);;
109779;27/06/2018;Fábrica;Fábrica;NUCALA 100 MG C/ 1 AMP;MEPOLIZUMABE;GLAXO - SIMONE;3002.15.90;NEGATIVA;;;SIM;REGIME NORMAL;SIM;IMPORTADO;;;7896015530341;;;;;;; R$ 5.492,40 ;; R$ 5.529,44 ; R$ 5.566,98 ; R$ 5.722,39 ; R$ 5.492,40 ; R$ 5.492,40 ; R$ 5.529,44 ; R$ 5.566,98 ; R$ 5.722,39 ; R$ 4.473,81 ; R$ 5.492,40 ; R$ 5.529,44 ; R$ 5.566,98 ; R$ 5.722,39 ; R$ 7.384,12 ; R$ 7.432,62 ; R$ 6.879,62 ; R$ 7.481,78 ; R$ 7.685,05 ;;;
110093;12/06/2018;4%;FÁBRICA;OCREVUS 30MG ML 1 AMP 10ML;OCRELIZUMABE;ROCHE;3002.10.39;NEGATIVA;REFRIGERADO;NÃO CONTROLADO;NÃO;REGIME NORMAL;NÃO;NACIONAL;GO;;7613326002509;;; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 29.101,70 ; R$ -   ; R$ 29.304,95 ; R$ 29.511,08 ; R$ 30.365,48 ; R$ 29.101,70 ; R$ 29.101,70 ; R$ 29.304,95 ; R$ 29.511,08 ; R$ 30.365,48 ; R$ 23.550,25 ; R$ 29.101,70 ; R$ 29.304,95 ; R$ 29.511,08 ; R$ 30.365,48 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;;;
04545;24/04/2018;5%;Fábrica;OFEV 100 MG CAIXA COM 60 CAPS;ESILATO DE NINTEDANIBE;BOEHRINGER;2004.90.69;NEGATIVA;REFRIGERADO;NÃO CONTROLADO;NÃO;REGIME NORMAL;NÃO;IMPORTADO;SP;;7896026306683;;; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 7.794,69 ; R$ -   ; R$ 7.849,13 ; R$ 7.904,34 ; R$ 8.133,19 ; R$ 7.794,69 ; R$ 7.794,69 ; R$ 7.849,13 ; R$ 7.904,34 ; R$ 8.133,19 ; R$ -   ; R$ 7.794,69 ; R$ 7.849,13 ; R$ 7.904,34 ; R$ 8.133,19 ; R$ 8.461,65 ; R$ 10.389,73 ; R$ 10.459,90 ; R$ 10.531,02 ; R$ 10.825,55 ;É indicado para o tratamento e retardo da progressão da fibrose pulmonar idiopática;;
04546;24/04/2018;5%;Fábrica;OFEV 150MG CAIXA COM 60 CAPS;ESILATO DE NINTEDANIBE;BOEHRINGER;2004.90.69;NEGATIVA;REFRIGERADO;NÃO CONTROLADO;NÃO;REGIME NORMAL;NÃO;IMPORTADO;SP;;7896026306676;;; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 15.589,39 ; R$ -   ; R$ 15.698,27 ; R$ 15.808,69 ; R$ 16.266,38 ; R$ 15.589,39 ; R$ 15.589,39 ; R$ 15.698,27 ; R$ 15.808,69 ; R$ 16.266,38 ; R$ -   ; R$ 15.589,39 ; R$ 15.698,27 ; R$ 15.808,69 ; R$ 16.266,38 ; R$ 16.923,32 ; R$ 20.779,48 ; R$ 20.919,81 ; R$ 21.062,05 ; R$ 21.651,09 ;É indicado para o tratamento e retardo da progressão da fibrose pulmonar idiopática;;
